"","nameplate.mw","summer.mw","winter.mw","technology","lat","lon","openspaceID"
"1",396,335,335,"Conventional Steam Coal",38.2081,-104.5747,"014_PublicServiceCoofColorado_ComancheCO_Pueblo"
"2",856.8,750,766,"Conventional Steam Coal",38.2081,-104.5747,"015_PublicServiceCoofColorado_ComancheCO_Pueblo"
"3",190,179,179,"Conventional Steam Coal",40.4856,-107.185,"074_PublicServiceCoofColorado_Hayden_Routt"
"4",275.4,262,262,"Conventional Steam Coal",40.4856,-107.185,"075_PublicServiceCoofColorado_Hayden_Routt"
"5",446.4,427,427,"Conventional Steam Coal",40.4627,-107.5912,"076_TriStateGTAssnInc_CraigCO_Moffat"
"6",446.4,410,410,"Conventional Steam Coal",40.4627,-107.5912,"077_TriStateGTAssnInc_CraigCO_Moffat"
"7",534.8,448,448,"Conventional Steam Coal",40.4627,-107.5912,"078_TriStateGTAssnInc_CraigCO_Moffat"
"8",552.3,505,505,"Conventional Steam Coal",40.2217,-103.6803,"091_PublicServiceCoofColorado_Pawnee_Morgan"
"9",293.6,280,280,"Conventional Steam Coal",40.860905,-105.0212,"099_PlatteRiverPowerAuthority_Rawhide_Larimer"
"10",207,195,195,"Conventional Steam Coal",38.633451,-104.7058,"119_CityofColoradoSpringsCO_RayDNixon_ElPaso"
