"","nameplate.mw","summer.mw","winter.mw","technology","lat","lon","openspaceID"
"1",29.7,29.7,29.7,"Onshore Wind Turbine",40.945911,-103.162,"212_TerraGenOperatingCoWind_RidgeCrestWindPartners_Logan"
"2",162,162,162,"Onshore Wind Turbine",37.7033,-102.6231,"217_AvangridPowerLLC_ColoradoGreenHoldingsLLC_Prowers"
"3",60,60,60,"Onshore Wind Turbine",40.983,-102.9647,"218_InvenergyServicesLLC_SpringCanyon_Logan"
"4",221,221,221,"Onshore Wind Turbine",40.8944,-104.0206,"219_LeewardAssetManagementLLC_CedarCreekWind_Weld"
"5",79.5,79.5,79.5,"Onshore Wind Turbine",40.8944,-104.0206,"220_LeewardAssetManagementLLC_CedarCreekWind_Weld"
"6",75,75,75,"Onshore Wind Turbine",37.6735,-102.8622,"223_AvangridPowerLLC_TwinButtesWindProject_Bent"
"7",199.5,199.5,199.5,"Onshore Wind Turbine",40.986,-103.436,"244_FPLPeetzTableWindEnergy_PeetzTableWindEnergy_Logan"
"8",201,201,201,"Onshore Wind Turbine",40.941,-103.259,"245_LoganWindEnergyLLC_LoganWindEnergy_Logan"
"9",71,71,71,"Onshore Wind Turbine",40.756944,-102.7431,"259_ColoradoHighlandsWindLLC_ColoradoHighlandsWind_Logan"
"10",25.1,25.1,25.1,"Onshore Wind Turbine",40.756944,-102.7431,"260_ColoradoHighlandsWindLLC_ColoradoHighlandsWind_Logan"
"11",248.3,248.3,248.3,"Onshore Wind Turbine",40.9475,-103.7839,"261_AEPowerServicesLLC_CedarCreekII_Weld"
"12",51,51,51,"Onshore Wind Turbine",39.3383,-102.3533,"262_DukeEnergyRenewablesServices_KitCarsonWindpower_KitCarson"
"13",22.5,22.5,22.5,"Onshore Wind Turbine",40.9881,-102.8969,"263_NorthernColoradoWindLLC_NorthernColoradoWindLLC_Logan"
"14",151.8,151.8,151.8,"Onshore Wind Turbine",40.9881,-102.8969,"264_NorthernColoradoWindLLC_NorthernColoradoWindLLC_Logan"
"15",252,252,252,"Onshore Wind Turbine",39.421787,-103.6781,"265_CedarPointLLC_CedarPointWind_Lincoln"
"16",29,29,29,"Onshore Wind Turbine",37.801111,-104.4919,"276_BlackHillsColoradoElectricLLC_BuschRanchWindEnergyFarm_Huerfano"
"17",200,200,200,"Onshore Wind Turbine",39.380975,-103.5732,"278_Limon_LimonWindI_Lincoln"
"18",200,200,200,"Onshore Wind Turbine",39.341389,-103.5811,"279_Limon_LimonWindII_Lincoln"
"19",34,34,34,"Onshore Wind Turbine",40.964167,-103.0772,"289_SpringCanyonExpansionLLC_SpringCanyonExpansionWindEnergyCtr_Logan"
"20",28.6,28.6,28.6,"Onshore Wind Turbine",40.964167,-103.0772,"290_SpringCanyonExpansionLLC_SpringCanyonExpansionWindEnergyCtr_Logan"
"21",200.6,200.6,200.6,"Onshore Wind Turbine",39.353333,-103.4742,"295_Limon_LimonIIIWindLLC_Lincoln"
"22",250,250,250,"Onshore Wind Turbine",38.935,-104.212,"308_GoldenWestPowerPartnersLLC_GoldenWestPowerPartnersLLC_ElPaso"
"23",150,150,150,"Onshore Wind Turbine",39.334,-102.173,"309_CarouselWindFarmLLC_CarouselWindFarmLLC_KitCarson"
"24",60.8,60.8,60.8,"Onshore Wind Turbine",37.710444,-104.5055,"313_BlackHillsColoradoElectricLLC_PeakViewWindFarm_Huerfano"
"25",600,582.3,582.3,"Onshore Wind Turbine",39.172111,-103.8454,"322_PublicServiceCoofColorado_RushCreekWind_Elbert"
"26",75,75,75,"Onshore Wind Turbine",37.773,-102.546,"331_AvangridPowerLLC_TwinButtesIIWind_Prowers"
"27",59.4,59.4,59.4,"Onshore Wind Turbine",37.766416,-104.4295,"364_BlackHillsElectricGenerationLLC_BuschRanchIIWindFarm_Huerfano"
"28",104,104,104,"Onshore Wind Turbine",39.046623,-102.8224,"365_EDPRenewablesNorthAmericaLLC_CrossingTrailsWindPowerProjectLLC_KitCarson"
"29",171.7,171.7,171.7,"Onshore Wind Turbine",40.960618,-104.0032,"372_LeewardAssetManagementLLC_MountainBreezeWindLLC_Weld"
"30",498.4,477.1,477.1,"Onshore Wind Turbine",39.016944,-102.2113,"374_PublicServiceCoofColorado_CheyenneRidgeWindFarm_Cheyenne"
"31",300,299,299,"Onshore Wind Turbine",39.088845,-103.0251,"396_BroncoPlainsWindLLC_BroncoPlainsWindLLC_KitCarson"
"32",145,145,145,"Onshore Wind Turbine",40.952057,-103.9076,"426_LeewardAssetManagementLLC_PanoramaWindLLC_Weld"
"33",205.6,205,205,"Onshore Wind Turbine",40.613364,-102.9526,"429_NiyolWindLLC_NiyolWindLLC_Logan"
"34",200,199,199,"Onshore Wind Turbine",39.184,-102.97,"442_BroncoPlainsWindIILLC_BroncoPlainsWindIILLC_KitCarson"
