"","nameplate.mw","summer.mw","winter.mw","technology","lat","lon","openspaceID"
"1",26.6,13,17,"Natural Gas Fired Combustion Turbine",37.4594,-105.8947,"005_PublicServiceCoofColorado_Alamosa_Alamosa"
"2",26.6,14,18,"Natural Gas Fired Combustion Turbine",37.4594,-105.8947,"006_PublicServiceCoofColorado_Alamosa_Alamosa"
"3",380.8,310,310,"Natural Gas Steam Turbine",39.807275,-104.9645,"010_PublicServiceCoofColorado_Cherokee_Adams"
"4",185.3,168,176,"Natural Gas Fired Combined Cycle",39.807275,-104.9645,"011_PublicServiceCoofColorado_Cherokee_Adams"
"5",185.3,168,176,"Natural Gas Fired Combined Cycle",39.807275,-104.9645,"012_PublicServiceCoofColorado_Cherokee_Adams"
"6",255,240,248,"Natural Gas Fired Combined Cycle",39.807275,-104.9645,"013_PublicServiceCoofColorado_Cherokee_Adams"
"7",26.6,14,18,"Natural Gas Fired Combustion Turbine",39.1364,-108.7347,"016_PublicServiceCoofColorado_Fruita_Mesa"
"8",59.3,43,51,"Natural Gas Fired Combustion Turbine",40.0195,-105.202,"022_PublicServiceCoofColorado_Valmont_Boulder"
"9",40.9,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"023_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"10",40.9,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"024_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"11",40.9,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"025_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"12",40.9,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"026_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"13",40.9,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"027_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"14",40.6,25,25,"Natural Gas Fired Combustion Turbine",38.824444,-104.8333,"028_CityofColoradoSpringsCO_SouthPlant_ElPaso"
"15",17.3,16,16,"Natural Gas Steam Turbine",38.881389,-104.8169,"029_CityofColoradoSpringsCO_GeorgeBirdsall_ElPaso"
"16",18.8,16,16,"Natural Gas Steam Turbine",38.881389,-104.8169,"030_CityofColoradoSpringsCO_GeorgeBirdsall_ElPaso"
"17",25,22,22,"Natural Gas Steam Turbine",38.881389,-104.8169,"031_CityofColoradoSpringsCO_GeorgeBirdsall_ElPaso"
"18",342.6,308,314,"Natural Gas Fired Combined Cycle",40.2461,-104.8742,"079_PublicServiceCoofColorado_FortStVrain_Weld"
"19",175.1,150,173,"Natural Gas Fired Combined Cycle",40.2461,-104.8742,"080_PublicServiceCoofColorado_FortStVrain_Weld"
"20",175.1,142,171,"Natural Gas Fired Combined Cycle",40.2461,-104.8742,"081_PublicServiceCoofColorado_FortStVrain_Weld"
"21",175.1,142,169,"Natural Gas Fired Combined Cycle",40.2461,-104.8742,"082_PublicServiceCoofColorado_FortStVrain_Weld"
"22",140.3,140,155,"Natural Gas Fired Combustion Turbine",40.2461,-104.8742,"083_PublicServiceCoofColorado_FortStVrain_Weld"
"23",140.3,140,155,"Natural Gas Fired Combustion Turbine",40.2461,-104.8742,"084_PublicServiceCoofColorado_FortStVrain_Weld"
"24",89.3,65,65,"Natural Gas Fired Combustion Turbine",40.860905,-105.0212,"100_PlatteRiverPowerAuthority_Rawhide_Larimer"
"25",89.3,65,65,"Natural Gas Fired Combustion Turbine",40.860905,-105.0212,"101_PlatteRiverPowerAuthority_Rawhide_Larimer"
"26",89.3,65,65,"Natural Gas Fired Combustion Turbine",40.860905,-105.0212,"102_PlatteRiverPowerAuthority_Rawhide_Larimer"
"27",89.3,65,65,"Natural Gas Fired Combustion Turbine",40.860905,-105.0212,"103_PlatteRiverPowerAuthority_Rawhide_Larimer"
"28",149.6,128,128,"Natural Gas Fired Combustion Turbine",40.860905,-105.0212,"104_PlatteRiverPowerAuthority_Rawhide_Larimer"
"29",50.4,44,50,"Natural Gas Fired Combustion Turbine",40.0922,-104.796,"113_PublicServiceCoofColorado_FortLupton_Weld"
"30",50.4,44,50,"Natural Gas Fired Combustion Turbine",40.0922,-104.796,"114_PublicServiceCoofColorado_FortLupton_Weld"
"31",37.8,30,32,"Natural Gas Fired Combustion Turbine",38.633451,-104.7058,"120_CityofColoradoSpringsCO_RayDNixon_ElPaso"
"32",37.8,30,32,"Natural Gas Fired Combustion Turbine",38.633451,-104.7058,"121_CityofColoradoSpringsCO_RayDNixon_ElPaso"
"33",20,20,20,"Natural Gas Steam Turbine",39.7606,-105.215,"124_MolsonCoorsUSALLC_ColoradoEnergyNationsCompany_Jefferson"
"34",23.8,25,30,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"139_BrushPowerLLC_BrushGenerationFacility_Morgan"
"35",37,32,38,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"140_BrushPowerLLC_BrushGenerationFacility_Morgan"
"36",23.8,25,30,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"141_BrushPowerLLC_BrushGenerationFacility_Morgan"
"37",23.8,25,30,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"142_BrushPowerLLC_BrushGenerationFacility_Morgan"
"38",38,30,30,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"143_BrushPowerLLC_BrushGenerationFacility_Morgan"
"39",37,40,40,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"144_BrushPowerLLC_BrushGenerationFacility_Morgan"
"40",90,90,90,"Natural Gas Fired Combined Cycle",40.2415,-103.631,"145_BrushPowerLLC_BrushGenerationFacility_Morgan"
"41",58.5,272,272,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"152_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
"42",58.5,NA,NA,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"153_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
"43",58.5,NA,NA,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"154_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
"44",58.5,NA,NA,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"155_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
"45",58.5,NA,NA,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"156_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
"46",52.2,NA,NA,"Natural Gas Fired Combined Cycle",40.0986,-104.7736,"157_TriStateGTAssnInc_JMShaferGeneratingStation_Weld"
