"","nameplate.mw","summer.mw","winter.mw","technology","lat","lon","openspaceID"
"1",150,170,170,"Hydroelectric Pumped Storage",39.6551,-105.7088,"008_PublicServiceCoofColorado_CabinCreek_ClearCreek"
"2",150,170,170,"Hydroelectric Pumped Storage",39.6551,-105.7088,"009_PublicServiceCoofColorado_CabinCreek_ClearCreek"
"3",43.2,43.2,43.2,"Conventional Hydroelectric",38.453191,-107.3375,"057_USBureauofReclamation_BlueMesa_Gunnison"
"4",43.2,43.2,43.2,"Conventional Hydroelectric",38.453191,-107.3375,"058_USBureauofReclamation_BlueMesa_Gunnison"
"5",15,17.2,17.2,"Conventional Hydroelectric",40.376771,-105.5097,"059_USBureauofReclamation_Estes_Larimer"
"6",15,17.2,17.2,"Conventional Hydroelectric",40.376771,-105.5097,"060_USBureauofReclamation_Estes_Larimer"
"7",15,17.2,17.2,"Conventional Hydroelectric",40.376771,-105.5097,"061_USBureauofReclamation_Estes_Larimer"
"8",86.6,86.6,86.6,"Conventional Hydroelectric",38.451753,-107.5393,"062_USBureauofReclamation_MorrowPoint_Montrose"
"9",86.6,86.6,86.6,"Conventional Hydroelectric",38.451753,-107.5393,"063_USBureauofReclamation_MorrowPoint_Montrose"
"10",13,13,13,"Conventional Hydroelectric",39.878805,-106.3327,"065_USBureauofReclamation_GreenMountain_Summit"
"11",13,13,13,"Conventional Hydroelectric",39.878805,-106.3327,"066_USBureauofReclamation_GreenMountain_Summit"
"12",43,43,43,"Conventional Hydroelectric",40.364996,-105.236,"068_USBureauofReclamation_Flatiron_Larimer"
"13",43,43,43,"Conventional Hydroelectric",40.364996,-105.236,"069_USBureauofReclamation_Flatiron_Larimer"
"14",38.2,38.2,38.2,"Conventional Hydroelectric",40.365056,-105.3251,"071_USBureauofReclamation_PoleHill_Larimer"
"15",28,35,35,"Conventional Hydroelectric",38.510573,-107.6253,"085_USBureauofReclamation_Crystal_Montrose"
"16",100,115,115,"Hydroelectric Pumped Storage",39.094197,-106.3523,"089_USBureauofReclamation_MountElbert_Lake"
"17",100,115,115,"Hydroelectric Pumped Storage",39.094197,-106.3523,"090_USBureauofReclamation_MountElbert_Lake"
"18",26.6,28,28,"Conventional Hydroelectric",38.973655,-104.9011,"105_CityofColoradoSpringsCO_Tesla_ElPaso"
"19",11.4,11.4,10.5,"Conventional Hydroelectric",37.429538,-108.5749,"107_USBureauofReclamation_Towaoc_Montezuma"
