"","nameplate.mw","summer.mw","winter.mw","technology","lat","lon","openspaceID"
"1",35,35,35,"Solar Photovoltaic",37.694535,-105.9276,"266_AvangridPowerLLC_SanLuisValleySolarRanch_Alamosa"
"2",30,30,30,"Solar Photovoltaic",37.598579,-105.9558,"267_SolarofAlamosaLLC_AlamosaSolar_Alamosa"
"3",10,10,10,"Solar Photovoltaic",37.685467,-105.8909,"268_GreaterSandhillILLC_GreaterSandhillI_Alamosa"
"4",120,120,120,"Solar Photovoltaic",38.205278,-104.5667,"302_OnwardEnergy_ComancheSolar_Pueblo"
"5",52,52,52,"Solar Photovoltaic",37.691863,-105.9908,"310_SolarStarColoradoIIILLC_HooperSolar_Alamosa"
"6",13,13,13,"Solar Photovoltaic",40.081444,-104.7467,"311_SRJenkinsLLC_SRJenkinsFtLupton_Weld"
"7",30,30,30,"Solar Photovoltaic",37.372,-104.843,"317_SanIsabelSolarLLC_SanIsabelSolarLLC_LasAnimas"
"8",30,30,30,"Solar Photovoltaic",40.863809,-105.0111,"319_BisonSolarLLC_BisonSolarLLC_Larimer"
"9",10,10,10,"Solar Photovoltaic",38.602102,-104.6947,"321_DGColoradoSolarLLC_ClearSpringRanchPVProject_ElPaso"
"10",12.8,12.8,12.8,"Solar Photovoltaic",39.795,-104.433,"329_DukeEnergyRenewablesServices_VictorySolarLLC_Adams"
"11",16,16,16,"Solar Photovoltaic",40.181742,-104.6921,"338_SRPlatteLLC_SRPlatteSolarFarm_Weld"
"12",50,50,50,"Solar Photovoltaic",39.68646,-104.014,"346_TitanSolarLLC_TitanSolar_Arapahoe"
"13",80,80,80,"Solar Photovoltaic",39.761569,-104.459,"348_PioneerSolarCOLLC_PioneerSolarCOLLC_Adams"
"14",35,35,35,"Solar Photovoltaic",38.977759,-104.2527,"362_GrazingYakSolarLLC_GrazingYakSolar_ElPaso"
"15",140,140,140,"Solar Photovoltaic",37.378,-104.475,"363_SpanishPeaksSolarLLC_SpanishPeaksSolar_LasAnimas"
"16",60,60,60,"Solar Photovoltaic",38.6299,-104.6526,"366_DukeEnergyRenewablesServices_PalmerSolar_ElPaso"
"17",22,22,22,"Solar Photovoltaic",40.857978,-105.0156,"389_GreenbackerRenewableEnergyCorporation_RawhidePrairieSolarHybrid_Larimer"
"18",325,325,325,"Solar Photovoltaic",38.330263,-104.4142,"391_NeptuneEnergyCenterLLC_NeptuneEnergyCenterHybrid_Pueblo"
"19",240,240,240,"Solar Photovoltaic",38.207518,-104.5967,"393_LightsourceRenewableEnergyAssetManagementLLC_BighornSolar1_Pueblo"
"20",248,248,248,"Solar Photovoltaic",38.1899,-104.398,"395_ThunderWolfEnergyCenterLLC_ThunderWolfEnergyCenterHybrid_Pueblo"
"21",175,175,175,"Solar Photovoltaic",38.6217,-104.5814,"405_DukeEnergyRenewablesServices_PikeSolarHybrid_ElPaso"
"22",200,200,200,"Solar Photovoltaic",38.180331,-104.5185,"428_LightsourceRenewableEnergyAssetManagementLLC_SunMountainSolar1_Pueblo"
"23",75,75,75,"Solar Photovoltaic",39.626617,-104.465,"432_HunterSolarLLC_HunterSolarLLCCO_Arapahoe"
"24",11.2,10,10,"Solar Photovoltaic",39.3959,-108.0733,"467_AESCleanEnergy_HighMesaCO_Garfield"
"25",12.3,11.3,8.2,"Solar Photovoltaic",38.169473,-104.619,"471_CSWindAmericaInc_CSWINDAmericaInc_Pueblo"
"26",11,11,11,"Solar Photovoltaic",40.135008,-104.6454,"478_GreenbackerRenewableEnergyCorporation_Overland_Weld"
